date,event,channel,direction_on_ffxiv_kpi,source_grade_and_source,note
2026-08-04,FFXIV Nintendo Switch 2版 サービス開始,FFXIV自身,流入(+),一次: GAME Watch/famitsu/公式,発売から1か月無料、他PF併用者は半額
2026-09-12/13,BlizzCon 2026 (Anaheim),WoW,注目(-),一次: warcraft.wiki.gg / Blizzard 2025-03-11発表,The Last Titan の初公開が見込まれる（未確定）
2026-09-30,FFXIV モバイル 中国版 サービス終了,FFXIV自身,ライセンス収入(-),一次: 運営終了告知 (Tencent/LightSpeed),グローバル版も中止
2026-10-23,Call of Duty: Modern Warfare 4,可処分時間,証拠なし,二次: GamesRadar,
2026-10-31/11-01,FFXIV ファンフェス 2026 in TOKYO (幕張メッセ),FFXIV自身,注目(+),一次: jp.finalfantasy.com/news/5681,8.0の正確な発売日はここで発表される可能性が高い
2026-11-19,Grand Theft Auto VI,可処分時間,証拠なし,一次: Rockstar 2025-11-06発表,8.0の約6-7週間前
2026-12(予定),WoW Midnight パッチ12.1.7（秋フェーズ）,WoW,証拠なし,準一次: Blizzard公式ロードマップ,
2027-01(日付未定),FFXIV 8.0『白銀のワンダラー』,FFXIV自身,—,一次: SE 2026-04-27発表,Lv110、シーズン制、リボーン/エヴォルヴモード
2027-01-15,ANANTA (NetEase),ライブサービス,証拠なし,一次: anantagame.com / Gamescom 2026,F2Pオープンワールド。8.0初動と同月
2027-02-18,Persona 4 Revival (Atlus),可処分時間(日本),証拠なし,二次: GamesRadar,
2027-春,FINAL FANTASY VII REVELATION,同社IP,不明(±),一次: SE公式 2026-06-09,全PF同時。FF内での注目・販促の競合
2027-Q2,Chrono Odyssey (Kakao Games),MMO,証拠なし,準一次: Kakao Games 決算説明会 2026-08-10,Q1→Q2 2027へ再延期。8.0初動を外れた
2027-H2以降(推定),WoW 13.0 The Last Titan,WoW,証拠なし(未発表),—,Midnight比 553-735日の実績間隔から2027-09〜2028-03
