survey_date,article_url,total_active,total_is_rounded,new,returning,continuing,quit,deleted,prev_survey_date,prev_total,method_change_note,confidence,note
2026-07-20,https://luckybancho.ldblog.jp/archives/59950973.html,950000,TRUE,50000,280000,610000,未取得,未取得,2026-04-19,770000,【型1:同一データ再集計】【20260722追記】パッチ7.5からフリートライアルの範囲が拡張された分を集計に反映するのが漏れていたので再集計しました。／足切り条件をレベル80超に変更。同一2026/7/20データで旧基準(Lv70超)102万→新基準(Lv80超)95万＝定義変更の効果 -7万(-6.9%),high,【定義変更効果の直接測定値】同一データの旧基準/新基準ペアが取り消し線併記で残る唯一の回。アクティブ102→95万/新規8→5万/復帰31→28万/継続63→61万/マメット・ジタン70→68万/マメット・ガーネット44→43万。旧基準側も8+31+63=102万で加法的、新基準側も5+28+61=94≒95万で加法的。CSVには再集計後の値を記載。全桁表記は記事に無し。黄金開始87万/到達72万/クリア65万。前回(4/19)はLv70超基準のままなので前回比は基準不一致。
2026-04-19,https://luckybancho.ldblog.jp/archives/59801758.html,770000,TRUE,40000,60000,640000,未取得,未取得,2026-02-23,930000,記載なし（判定基準の記述はあるが変更の明記なし。足切りはレベル70超）,high,"内訳合計74万に対し総数77万で約3万不一致。第4カテゴリの記載は無い。記事は『内訳をみると継続プレイヤーが維持された中で前回復帰した21万が休止して、遅れて復帰した6万で差し引き15万減少』『厳密には前回復帰した全員が休止したわけではないし、継続していた中でも休止した人もいるのであくまで規模感で見た場合』と、内訳が概算である旨を明記。全桁表記(771,486等)は記事本文に無し。黄金開始68万/到達57万/クリア51万。"
2026-02-23,https://luckybancho.ldblog.jp/archives/59706955.html,930000,TRUE,60000,210000,650000,未取得,未取得,2025-11-30,820000,レイド公開が1月6日にずれ込んだのにあわせて集計期間を調整（前回から約2か月半）,medium,内訳合計92万≒総数93万（丸め整合）。黄金開始81万/到達67万/クリア61万。
2025-11-30,https://luckybancho.ldblog.jp/archives/59557204.html,820000,TRUE,40000,130000,650000,未取得,未取得,2025-09-27,880000,記載なし,medium,内訳合計82万＝総数82万（整合）。黄金開始72万/到達59万/クリア54万。
2025-09-27,https://luckybancho.ldblog.jp/archives/59432707.html,880000,TRUE,30000,190000,660000,未取得,未取得,2025-07-27,880000,新たに所持フェイスアクセサリー数の変化やサポートジョブの経験値の変化をアクティブ判定に取り入れるようにした（カウントは増加方向）,medium,内訳合計88万＝総数88万（整合）。前回調査日は記事表記が2025/7/27（実記事は7/26付）。黄金開始76万/到達62万/クリア56万。
2025-07-26,https://luckybancho.ldblog.jp/archives/59324844.html,880000,TRUE,50000,120000,700000,未取得,未取得,2025-05-25,950000,今回新たにフェイスアクセサリーの情報とクレセントアイルの情報を収集するようにした（収集項目追加。判定への反映は次回2025/9/27から）,medium,内訳合計87万に対し総数88万（丸め整合）。記事タイトルは(2025/7/27)表記。黄金開始76万/到達63万/クリア57万。
2025-05-25,https://luckybancho.ldblog.jp/archives/59200105.html,950000,TRUE,50000,150000,740000,未取得,未取得,2025-03-16,990000,記載なし（7.0のキャラクターデータ非表示機能の影響を継続確認）,medium,内訳合計94万に対し総数95万（丸め整合）。データ収集期間5/4〜5/17。黄金開始82万/到達67万/クリア61万。
2025-03-15,https://luckybancho.ldblog.jp/archives/59046947.html,990000,TRUE,59000,170000,760000,未取得,未取得,2024-12-29,1003000,前回の記事でデータ上は100.3万だったのを103万と読み違えていたので修正しました（前回値の訂正）,medium,内訳合計98.9万≒総数99万（整合）。前回総数は訂正後の100.3万。黄金開始83万/到達66万/クリア59万。
2024-12-29,https://luckybancho.ldblog.jp/archives/58883226.html,1003000,TRUE,47000,120000,830000,未取得,未取得,2024-11-04,1150000,記載なし,medium,記事初出は『103万』と誤記され、次回(2025/3/15)記事で100.3万に訂正。CSVは訂正後値。内訳合計99.7万≒100.3万。黄金開始85万/到達67万/クリア62万。
2024-11-04,https://luckybancho.ldblog.jp/archives/58771096.html,1150000,TRUE,50000,100000,1000000,未取得,未取得,2024-08-27,1440000,パッチ7.0でLodestoneにも修正が入り、キャラクター情報の公開範囲のコントロール機能が拡張されキャラクター情報を非公開にできるようになった（母集団が減少方向）,medium,内訳合計115万＝総数115万（整合）。黄金開始95万/到達74万/クリア66万。
