platform_event,event_date,window_role,prev_survey,survey,days,new_chars,new_per_day,index_vs_pre,confound
PS5版,2021-05-25,pre-2,2020-12-05,2021-02-07,64,100000,1562,0.82,
PS5版,2021-05-25,pre-1,2021-02-07,2021-04-11,63,120000,1905,1.00,基準
PS5版,2021-05-25,launch-window,2021-04-11,2021-07-18,98,210000,2143,1.12,パッチ5.5フリートライアル紅蓮まで拡大(2021-04-13)が同一窓に混入
PS5版,2021-05-25,post-1,2021-07-18,2021-11-05,110,560000,5091,2.67,2021年夏のWoW離脱/配信者流入・暁月予約。PS5単独効果は分離不能
PS5版,2021-05-25,post-2,2021-11-05,2022-01-03,59,180000,3051,1.60,暁月発売(2021-12-03)・販売停止
XboxSeriesXS版,2024-03-21,pre-2,2023-07-22,2023-10-08,78,110000,1410,1.09,
XboxSeriesXS版,2024-03-21,pre-1,2023-10-08,2023-12-24,77,100000,1299,1.00,基準
XboxSeriesXS版,2024-03-21,launch-window,2023-12-24,2024-03-31,98,80000,816,0.63,発売10日後の調査。育成ラグで効果は未反映
XboxSeriesXS版,2024-03-21,post-1,2024-03-31,2024-06-12,73,100000,1370,1.05,黄金のレガシー予約・事前告知期と重複
XboxSeriesXS版,2024-03-21,post-2,2024-06-12,2024-08-27,76,120000,1579,1.22,黄金のレガシー発売(2024-06-28)
XboxSeriesXS版,2024-03-21,post-3,2024-08-27,2024-11-04,69,50000,725,0.56,拡張反動後の定常。発売前水準を大きく下回る
XboxSeriesXS版,2024-03-21,post-4,2024-11-04,2024-12-29,55,47000,855,0.66,
NintendoSwitch2版,2026-08-04,pre-3,2025-11-30,2026-02-23,85,60000,706,,足切りLv70超基準
NintendoSwitch2版,2026-08-04,pre-2,2026-02-23,2026-04-19,55,40000,727,,足切りLv70超基準
NintendoSwitch2版,2026-08-04,pre-1,2026-04-19,2026-07-20,92,50000,543,,足切りLv80超に変更。パッチ7.5フリートライアル漆黒まで拡大(2026-04-28)を含む窓
NintendoSwitch2版,2026-08-04,post-1,2026-07-20,未実施,,,,,次回国勢調査が初の観測点
