title,event_date,announce_date,event_type,years_since_launch,operator_at_event,transferred_from,transfer_date,stated_reason_summary,source_grade,source_url
EverQuest,2012-03-16,2012-01-30,f2p_hybrid_3tier,13.00,Sony Online Entertainment,,,"After 13 years we need to provide them with a wide variety of ways to play the game on their terms (Dave Georgeson, Director of Development)",primary,https://sony.mediaroom.com/2012-03-16-EverQuest-Makes-Transition-to-Free-to-Play
EverQuest,2005-02-08,,first_server_merge,5.90,Sony Online Entertainment,,,"(no rationale published; 4 PvP servers merged into Zek)",primary,https://help.daybreakgames.com/hc/en-us/articles/231264868-What-is-the-EverQuest-server-merge-history
EverQuest,2015-02-02,2015-02-02,operator_transfer,15.88,Daybreak Game Company,Sony Online Entertainment,2015-02-02,"SOE divested to Columbus Nova; renamed Daybreak. Occurred 2.9y AFTER the F2P change",secondary,https://variety.com/2015/digital/news/sony-online-entertainment-sold-to-investment-firm-columbus-nova-1201421468/
EverQuest II,2011-12-07,2011-11-10,f2p_hybrid_3tier,7.08,Sony Online Entertainment,,,"The new membership system, game update and expansion are a direct response to our community interaction (Dave Georgeson, Executive Producer)",primary,https://www.prnewswire.com/news-releases/everquestii-is-now-free-to-play-135181543.html
Ultima Online,2018-04-05,2017-09-23,free_tier_added,20.53,Broadsword Online Games,EA / Mythic Entertainment,2014-02-01,"A way to experience the core features of Ultima Online without a paid subscription; enables players past and present to return to Britannia and rekindle the magic of this venerable MMO",primary,https://uo.com/endless-journey/
Ultima Online,2014-02-01,2014-02-01,operator_transfer,16.36,Broadsword Online Games,EA / Mythic Entertainment,2014-02-01,"Broadsword will be operating the game on EA's behalf to continue its success (EA retains IP and billing)",primary_quoted,https://ultimacodex.com/2014/02/ultima-online-under-new-operations/
Dark Age of Camelot,2019-11-12,2017-12-20,free_tier_added,18.09,Broadsword Online Games,EA / Mythic Entertainment,2014-02-01,"Grow the game's population... we would never create an alternative ruleset server unless we were confident in the Ywain server's population and health. This is the second and much more challenging obstacle. The Endless Conquest is going to be a huge step in overcoming it. (John Thornhill, Producer)",primary,https://www.darkageofcamelot.com/2017/12/20/producers-letter-endless-conquest/
Dark Age of Camelot,2009-09-01,,server_consolidation_to_single_cluster,7.90,EA / Mythic Entertainment,,,"All servers merged into single Ywain cluster to maintain critical mass for enjoyable PvP",secondary,https://massivelyop.com/2016/07/02/the-game-archaeologist-dark-age-of-camelot/
Dark Age of Camelot,2026-04-24,2026-04-24,free_tier_restrictions_lifted,24.54,Broadsword Online Games,EA / Mythic Entertainment,2014-02-01,"All races and classes opened to free accounts; 120->60 day conversion. Framed as reclaiming players",secondary,https://massivelyop.com/2026/04/24/classic-mmorpg-dark-age-of-camelot-is-lifting-a-bunch-of-restrictions-on-free-to-play-accounts-in-its-latest-update/
Lord of the Rings Online,2010-09-10,2010-06-04,f2p_hybrid,3.38,Turbine / Warner Bros. Interactive,,,"The popularity of DDO validated the extraordinary demand by gamers for quality entertainment they can experience at their own pace and within their budget (Jim Crowley, President and CEO, Turbine)",primary,https://www.theonering.net/torwp/2010/06/06/37059-warner-bros-interactive-entertainment-announces-the-lord-of-the-rings-online%E2%84%A2-to-adopt-global-free-to-play-model/
